iter	RMSE
0	1.618192891
1	1.569767607
2	1.525629971
3	1.48742476
4	1.450617855
5	1.417324423
6	1.386725624
7	1.361484735
8	1.338239538
9	1.317914011
10	1.298999743
11	1.281271803
12	1.266207002
13	1.251731862
14	1.239023957
15	1.227583217
16	1.217660567
17	1.207727067
18	1.200219316
19	1.192455267
20	1.184881739
21	1.178567209
22	1.172128791
23	1.166201218
24	1.161224413
25	1.157096673
26	1.151453442
27	1.147917804
28	1.143782053
29	1.140961899
30	1.138259411
31	1.134476247
32	1.131483101
33	1.129001354
34	1.127034413
35	1.124591256
36	1.123715752
37	1.122529432
38	1.120765128
39	1.118628086
40	1.117620094
41	1.116983917
42	1.116583704
43	1.11494575
44	1.114600007
45	1.112343228
46	1.11171437
47	1.111302962
48	1.11090693
49	1.110388629
50	1.11014819
51	1.109137611
52	1.108735378
53	1.107815762
54	1.107352562
55	1.105945388
56	1.105464171
57	1.10454763
58	1.104174313
59	1.102158502
60	1.101935838
61	1.101484855
62	1.10108937
63	1.099679539
64	1.098333116
65	1.098085875
66	1.097313878
67	1.095002295
68	1.092955541
69	1.092794759
70	1.092510771
71	1.092158272
72	1.091932047
73	1.091645665
74	1.091418928
75	1.091042003
76	1.090760381
77	1.090491736
78	1.088496305
79	1.087403047
80	1.087087035
81	1.086823565
82	1.086592784
83	1.08610008
84	1.085770041
85	1.08552851
86	1.085328743
87	1.085121321
88	1.084923486
89	1.083212148
90	1.082942744
91	1.08267947
92	1.082378224
93	1.082208639
94	1.081166458
95	1.080837939
96	1.080605613
97	1.079950532
98	1.079752017
99	1.079513562
100	1.078061084
101	1.077905259
102	1.077695901
103	1.077552732
104	1.077053571
105	1.076908705
106	1.076316712
107	1.076115008
108	1.075834742
109	1.075673933
110	1.07546333
111	1.075213618
112	1.075091712
113	1.074679958
114	1.074312066
115	1.074128613
116	1.073765906
117	1.073574494
118	1.072234669
119	1.072038335
120	1.071808285
121	1.071631214
122	1.071367325
123	1.071172051
124	1.07100609
125	1.070788308
126	1.070615772
127	1.070378862
128	1.070212552
129	1.069861076
130	1.069631203
131	1.069308045
132	1.068840442
133	1.067834397
134	1.067650955
135	1.067408143
136	1.067207765
137	1.067009857
138	1.066824416
139	1.066609257
140	1.066252715
141	1.066044819
142	1.065684584
143	1.065258241
144	1.064828749
145	1.064467251
146	1.064213878
147	1.063882442
148	1.063581353
149	1.063177022
150	1.062964396
151	1.062741841
152	1.062511752
153	1.06225156
154	1.061618907
155	1.061411253
156	1.0611549
157	1.060758377
158	1.06034422
159	1.060117008
160	1.059778571
161	1.05947886
162	1.059227486
163	1.059003287
164	1.058793428
165	1.05857846
166	1.058352382
167	1.057836316
168	1.057464018
169	1.057106936
170	1.056897569
171	1.05660626
172	1.056255016
173	1.055881024
174	1.055528712
175	1.055321147
176	1.055116894
177	1.054908377
178	1.054704583
179	1.053581287
180	1.053378325
181	1.053176354
182	1.052974475
183	1.049466266
184	1.049138521
185	1.048940929
186	1.048746444
187	1.048553121
188	1.045541098
189	1.045226537
190	1.044948236
191	1.044589291
192	1.043527395
193	1.043335795
194	1.043147747
195	1.042959466
196	1.042774646
197	1.042591229
198	1.04240824
199	1.042096522
200	1.041915168
201	1.041737094
202	1.041435723
203	1.041098285
204	1.040919765
205	1.040742632
206	1.038895207
207	1.038718689
208	1.038452384
209	1.038277789
210	1.037956509
211	1.037763065
212	1.036691788
213	1.036519339
214	1.036348355
215	1.036011236
216	1.035840283
217	1.035519683
218	1.035214351
219	1.03504464
220	1.034876435
221	1.034709412
222	1.034543048
223	1.034377678
224	1.034124142
225	1.033962866
226	1.033799517
227	1.033636922
228	1.033287047
229	1.032989206
230	1.031543962
231	1.031385112
232	1.031223805
233	1.031063258
234	1.03090389
235	1.030749245
236	1.030506599
237	1.030349204
238	1.030192514
239	1.030036533
240	1.029801945
241	1.028311472
242	1.028155671
243	1.027580491
244	1.027425594
245	1.027275257
246	1.027122238
247	1.02697034
248	1.026819132
249	1.026527133
250	1.026376472
251	1.026140943
252	1.025990814
253	1.024813511
254	1.024663698
255	1.024514617
256	1.024236357
257	1.0240881
258	1.023940904
259	1.023722323
260	1.023363876
261	1.023220995
262	1.023075061
263	1.022929647
264	1.020546414
265	1.0203014
266	1.019170621
267	1.019024857
268	1.018880478
269	1.018737364
270	1.018595254
271	1.018453939
272	1.018313119
273	1.01804044
274	1.017820517
275	1.01768033
276	1.017540959
277	1.017402241
278	1.016401544
279	1.016155736
280	1.014980858
281	1.013784533
282	1.013646159
283	1.013405305
284	1.013205889
285	1.013068381
286	1.011813674
287	1.011676332
288	1.01154045
289	1.01140527
290	1.011270841
291	1.010797752
292	1.01052032
293	1.010314519
294	1.010180724
