iter	Passed	Remaining
0	107	107178
1	208	103811
2	309	102885
3	422	105218
4	527	104963
5	625	103578
6	734	104136
7	834	103463
8	939	103483
9	1043	103325
10	1151	103567
11	1254	103250
12	1349	102477
13	1444	101717
14	1542	101300
15	1652	101611
16	1757	101607
17	1856	101295
18	1970	101738
19	2071	101524
20	2170	101192
21	2279	101350
22	2381	101182
23	2492	101346
24	2595	101213
25	2698	101078
26	2811	101311
27	2918	101325
28	3020	101144
29	3119	100848
30	3227	100895
31	3334	100862
32	3437	100742
33	3553	100966
34	3657	100852
35	3757	100613
36	3871	100768
37	3979	100744
38	4086	100688
39	4196	100710
40	4304	100686
41	4411	100635
42	4519	100577
43	4622	100437
44	4728	100358
45	4837	100333
46	4944	100252
47	5041	99994
48	5157	100106
49	5258	99910
50	5364	99830
51	5486	100030
52	5597	100008
53	5697	99808
54	5811	99850
55	5916	99730
56	6021	99618
57	6123	99459
58	6230	99365
59	6331	99186
60	6433	99027
61	6535	98879
62	6638	98739
63	6742	98616
64	6854	98600
65	6962	98527
66	7068	98433
67	7196	98637
68	7337	99003
69	7443	98898
70	7547	98749
71	7651	98620
72	7753	98461
73	7864	98406
74	7982	98451
75	8083	98283
76	8188	98157
77	8296	98067
78	8403	97969
79	8509	97863
80	8617	97770
81	8733	97777
82	8845	97721
83	8954	97650
84	9065	97586
85	9192	97701
86	9311	97716
87	9426	97692
88	9555	97812
89	9672	97794
90	9784	97736
91	9892	97638
92	10002	97552
93	10116	97506
94	10237	97527
95	10353	97493
96	10463	97411
97	10577	97359
98	10689	97286
99	10798	97182
100	10902	97039
101	11007	96910
102	11120	96844
103	11241	96848
104	11340	96666
105	11441	96500
106	11560	96479
107	11682	96488
108	11806	96510
109	11910	96364
110	12011	96200
111	12117	96075
112	12220	95921
113	12318	95741
114	12424	95614
115	12527	95464
116	12632	95334
117	12736	95197
118	12838	95046
119	12939	94892
120	13071	94955
121	13197	94981
122	13310	94905
123	13409	94734
124	13512	94588
125	13616	94448
126	13715	94278
127	13812	94099
128	13915	93959
129	14041	93972
130	14166	93971
131	14290	93970
132	14405	93904
133	14532	93919
134	14661	93944
135	14788	93952
136	14907	93907
137	15030	93888
138	15159	93903
139	15286	93899
140	15389	93757
141	15508	93707
142	15631	93677
143	15753	93646
144	15868	93570
145	15999	93583
146	16120	93539
147	16242	93505
148	16362	93454
149	16487	93428
150	16611	93398
151	16731	93344
152	16835	93199
153	16960	93171
154	17062	93019
155	17186	92981
156	17310	92947
157	17437	92928
158	17567	92917
159	17693	92891
160	17814	92832
161	17932	92761
162	18033	92602
163	18136	92452
164	18251	92363
165	18375	92320
166	18486	92209
167	18599	92110
168	18715	92029
169	18851	92039
170	18974	91986
171	19083	91868
172	19197	91769
173	19308	91661
174	19425	91577
175	19554	91549
176	19683	91524
177	19788	91383
178	19891	91232
179	20020	91204
180	20156	91206
181	20270	91106
182	20406	91104
183	20520	91002
184	20652	90983
185	20764	90871
186	20869	90730
187	20989	90657
188	21106	90567
189	21210	90423
190	21309	90256
191	21411	90105
192	21509	89940
193	21611	89787
194	21711	89627
195	21812	89476
196	21916	89336
197	22021	89197
198	22147	89148
199	22269	89077
200	22378	88956
201	22502	88895
202	22627	88836
203	22751	88776
204	22879	88727
205	23003	88662
206	23124	88589
207	23242	88500
208	23348	88367
209	23451	88221
210	23556	88086
211	23657	87933
212	23755	87771
213	23858	87629
214	23961	87486
215	24068	87361
216	24173	87223
217	24277	87087
218	24381	86950
219	24482	86802
220	24583	86653
221	24686	86512
222	24786	86362
223	24888	86221
224	25008	86138
225	25131	86070
226	25242	85958
227	25360	85869
228	25485	85806
229	25614	85752
230	25725	85640
231	25832	85512
232	25955	85442
233	26080	85373
234	26189	85254
235	26309	85169
236	26428	85084
237	26532	84949
238	26638	84820
239	26750	84708
240	26854	84575
241	26958	84439
242	27062	84304
243	27178	84208
244	27282	84075
245	27396	83970
246	27507	83860
247	27611	83725
248	27732	83641
249	27839	83519
250	27946	83395
251	28078	83343
252	28194	83245
253	28306	83136
254	28414	83016
255	28528	82910
256	28632	82776
257	28735	82641
258	28838	82505
259	28947	82389
260	29052	82258
261	29161	82142
262	29264	82007
263	29366	81870
264	29471	81742
265	29575	81611
266	29678	81477
267	29783	81349
268	29886	81215
269	29989	81081
270	30096	80961
271	30204	80841
272	30313	80726
273	30423	80611
274	30533	80497
275	30648	80397
276	30759	80284
277	30866	80164
278	30981	80062
279	31093	79955
280	31197	79824
281	31302	79700
282	31408	79576
283	31515	79454
284	31623	79337
285	31730	79214
286	31831	79079
287	31940	78964
288	32045	78839
289	32153	78721
290	32260	78601
291	32366	78478
292	32471	78352
293	32582	78242
294	32693	78132
295	32799	78009
296	32903	77881
297	33006	77753
298	33113	77634
299	33220	77514
300	33328	77396
301	33435	77277
302	33540	77154
303	33644	77027
304	33754	76915
305	33864	76804
306	33966	76673
307	34076	76562
308	34186	76448
309	34291	76327
310	34399	76209
311	34506	76090
312	34614	75974
313	34725	75864
314	34830	75741
315	34936	75621
316	35045	75507
317	35149	75384
318	35255	75264
319	35369	75160
320	35474	75038
321	35580	74917
322	35688	74803
323	35795	74683
324	35900	74562
325	36008	74446
326	36117	74334
327	36226	74219
328	36332	74100
329	36437	73978
330	36544	73860
331	36648	73739
332	36755	73621
333	36862	73504
334	36970	73389
335	37081	73279
336	37190	73167
337	37293	73042
338	37401	72927
339	37510	72815
340	37620	72702
341	37732	72596
342	37835	72472
343	37943	72357
344	38052	72243
345	38161	72131
346	38271	72021
347	38384	71916
348	38490	71797
349	38596	71679
350	38706	71568
351	38819	71462
352	38923	71341
353	39030	71225
354	39146	71124
355	39252	71008
356	39362	70896
357	39471	70784
358	39577	70666
359	39688	70557
360	39795	70441
361	39906	70332
362	40017	70223
363	40128	70115
364	40235	69998
365	40348	69894
366	40460	69786
367	40567	69669
368	40676	69557
369	40790	69453
370	40899	69342
371	41006	69226
372	41120	69121
373	41233	69016
374	41342	68904
375	41449	68788
376	41561	68681
377	41672	68572
378	41781	68460
379	41889	68345
380	41997	68231
381	42107	68121
382	42216	68008
383	42327	67900
384	42437	67790
385	42545	67676
386	42657	67569
387	42766	67455
388	42873	67341
389	42985	67234
390	43095	67123
391	43205	67012
392	43313	66898
393	43425	66791
394	43535	66680
395	43642	66565
